Medicine_ID,Counterfeit_Weight,DistArea_ID,Active_Since,Medicine_MRP,Medicine_Type,SidEffect_Level,Availability_rating,Area_Type,Area_City_Type,Area_dist_level,Counterfeit_Sales
OVZ29,15.1,Area018,2007,242.9984,Hreplacements,critical,0.0701040659999999,Industrial,Tier 3,Medium,1503.1904
GMV25,12.4,Area049,1997,199.5846,Antibiotics,mild,0.12384417,DownTown,Tier 1,Medium,5272.2842
TIQ73,,Area027,1983,178.5474,Antibiotics,mild,0.038612348,CityLimits,Tier 3,Medium,3313.5006
BSV80,12.3,Area045,2000,134.7046,Antacids,mild,0.119051405,DownTown,Tier 2,Unknown,2354.0828
TTV84,17.4,Area018,2007,137.3362,OralContraceptives,critical,0.060996608,Industrial,Tier 3,Medium,1497.1982
KYJ80,7.085,Area013,1985,190.766,Hreplacements,critical,0.053325274,DownTown,Tier 3,High,832.064
LLI13,9.27,Area035,2002,118.7596,Antiviral,mild,0.034531416,DownTown,Tier 2,Small,3133.0688
DGV14,16.15,Area045,2000,274.091,Antipyretics,critical,0.0325508579999999,DownTown,Tier 2,Unknown,4320.856
DVB70,13.4,Area046,1995,173.8526,Antipyretics,mild,0.024539622,DownTown,Tier 1,Small,2415.3364
KAF29,16.4,Area035,2002,170.2604,Mstablizers,mild,0.108140088,DownTown,Tier 2,Small,2965.2872
JCP13,13.3,Area046,1995,269.8278,Tranquilizers,mild,0.117230135,DownTown,Tier 1,Small,2716.278
KUD34,,Area019,1983,173.521,Antibiotics,mild,0.239284381,MidTownResidential,Tier 1,Small,439.242
LGE15,7.18,Area046,1995,164.5998,OralContraceptives,mild,0.013,DownTown,Tier 1,Small,2112.3974
YQV90,10.995,Area035,2002,256.3144,OralContraceptives,critical,0.060420609,DownTown,Tier 2,Small,4278.2448
TLK62,6.76,Area018,2007,195.524,Cardiac,critical,0.045308482,Industrial,Tier 3,Medium,2536.512
IPR12,7.435,Area045,2000,170.8236,Analgesics,mild,0.128265695,DownTown,Tier 2,Unknown,2207.6068
NQW13,19.5,Area046,1995,53.3086,Tranquilizers,mild,0.1760961389999999,DownTown,Tier 1,Small,871.3462
UNK81,16.55,Area046,1995,227.6192,OralContraceptives,mild,0.102816808,DownTown,Tier 1,Small,5721.6992
UMO34,,Area019,1983,245.0958,Antibiotics,critical,0.013,MidTownResidential,Tier 1,Small,580.3916
SST14,14.45,Area010,1996,151.7812,Analgesics,mild,0.107450618,MidTownResidential,Tier 3,Unknown,397.9624
JHC50,6.3,Area045,2000,200.153,Analgesics,mild,0.013,DownTown,Tier 2,Unknown,5046.578
RHG44,20.65,Area049,1997,58.8034,Mstablizers,critical,0.0953943209999999,DownTown,Tier 1,Medium,356.017
ZKH72,14.45,Area046,1995,189.8686,Antiseptics,mild,0.037651269,DownTown,Tier 1,Small,1535.1488
GWU14,19.5,Area049,1997,260.4092,Antibiotics,critical,0.079400129,DownTown,Tier 1,Medium,5840.2116
HAQ14,,Area027,1983,72.8536,Antibiotics,mild,0.070512481,CityLimits,Tier 3,Medium,1705.5936
QYH11,8.705,Area010,1996,100.0146,Cardiac,mild,0.03856185,MidTownResidential,Tier 3,Unknown,295.4292
HVG39,16.55,Area017,2005,96.3198,Hreplacements,mild,0.039760329,DownTown,Tier 2,Unknown,2119.0554
AEL80,,Area027,1983,198.1898,Antiseptics,mild,0.112428487,CityLimits,Tier 3,Medium,7409.5022
SRT14,12.8,Area035,2002,205.082,OralContraceptives,critical,0.054994624,DownTown,Tier 2,Small,3588.476
LLH93,15.65,Area035,2002,241.5984,OralContraceptives,critical,0.1038964519999999,DownTown,Tier 2,Small,6137.1584
TIQ73,17.55,Area035,2002,176.7474,Antibiotics,mild,0.038732114,DownTown,Tier 2,Small,5503.3168
HTQ14,21.55,Area013,1985,203.8794,Antipyretics,critical,0.089097073,DownTown,Tier 3,High,2063.794
SSS10,8.165,Area035,2002,137.9652,Analgesics,mild,0.026990601,DownTown,Tier 2,Small,2954.6344
THP41,10.195,Area045,2000,243.2616,Statins,mild,0.013,DownTown,Tier 2,Unknown,2925.3392
DUY39,10.195,Area017,2005,60.1008,Hreplacements,critical,0.09454715,DownTown,Tier 2,Unknown,872.012
VYG14,,Area027,1983,155.4444,Antibiotics,mild,0.067806734,CityLimits,Tier 3,Medium,4031.8988
CTT10,8.57,Area017,2005,109.6384,Tranquilizers,mild,0.059822808,DownTown,Tier 2,Unknown,2872.0752
ZAY63,14.65,Area017,2005,189.366,Hreplacements,critical,0.16321128,DownTown,Tier 2,Unknown,2809.49
QZX14,,Area027,1983,65.5588,MuscleRelaxants,mild,0.130607719,CityLimits,Tier 3,Medium,2861.4224
CDK74,8.82,Area049,1997,193.295,Mstablizers,critical,0.057091657,DownTown,Tier 1,Medium,3957.995
HTQ14,,Area027,1983,203.6794,Antipyretics,critical,0.0887916409999999,CityLimits,Tier 3,Medium,8501.4142
NIC11,12.95,Area018,2007,237.3694,Hreplacements,mild,0.053081193,Industrial,Tier 3,Medium,1254.847
RYR23,14.9,Area013,1985,241.53,Antipyretics,critical,0.132077255,DownTown,Tier 3,High,2443.3
FXD77,14.4,Area045,2000,186.1054,Antibiotics,mild,0.050657459,DownTown,Tier 2,Unknown,2914.6864
VSL11,13.1,Area013,1985,231.9772,Antipyretics,critical,0.119968096,DownTown,Tier 3,High,3226.2808
OYN80,8.535,Area013,1985,205.4452,Hreplacements,mild,0.112879337,DownTown,Tier 3,High,1874.7068
JUP10,7.725,Area018,2007,143.1626,Stimulants,mild,0.0764326759999999,Industrial,Tier 3,Medium,637.6504
PRU76,12.15,Area046,1995,125.4808,Antiseptics,mild,0.041679894,DownTown,Tier 1,Small,2222.2544
PZL14,,Area019,1983,57.4718,Antiseptics,mild,0.153582485,MidTownResidential,Tier 1,Small,254.8154
GSR10,12.45,Area046,1995,112.3648,Mstablizers,critical,0.118307659,DownTown,Tier 1,Small,1151.648
SGZ11,8.955,Area035,2002,124.4492,Cardiac,mild,0.044938828,DownTown,Tier 2,Small,1271.492
CDK74,,Area027,1983,191.695,Mstablizers,critical,0.056810028,CityLimits,Tier 3,Medium,6155.135
CSV89,10.195,Area049,1997,50.2138,Antipyretics,mild,0.118274111,DownTown,Tier 1,Medium,803.4346
NTP61,10.61,Area017,2005,74.851,OralContraceptives,mild,0.0511697829999999,DownTown,Tier 2,Unknown,1694.275
MKM14,13.45,Area010,1996,192.595,Antimalarial,critical,0.084440118,MidTownResidential,Tier 3,Unknown,662.285
NXT21,20.15,Area046,1995,199.4846,Tranquilizers,mild,0.065054819,DownTown,Tier 1,Small,2214.9306
CYW14,7.68,Area046,1995,155.447,Antiseptics,mild,0.028162573,DownTown,Tier 1,Small,3119.087
EDM63,18.9,Area018,2007,56.1402,Antacids,critical,0.029092971,Industrial,Tier 3,Medium,1215.5648
QCS35,22.5,Area018,2007,186.0738,Antifungal,critical,0.020069662,Industrial,Tier 3,Medium,2024.5118
BBL13,10.9,Area035,2002,177.6158,Analgesics,mild,0.10927919,DownTown,Tier 2,Small,1951.2738
DLH42,16.8,Area018,2007,209.2768,Antibiotics,critical,0.114176316,Industrial,Tier 3,Medium,4842.8432
XBP87,11.3,Area018,2007,258.075,Antiseptics,mild,0.034512619,Industrial,Tier 3,Medium,3858.125
SWI46,11.3,Area017,2005,152.118,OralContraceptives,mild,0.059116319,DownTown,Tier 2,Unknown,951.908
GAA13,,Area027,1983,188.537,Antiseptics,mild,0.14229931,CityLimits,Tier 3,Medium,8052.665
UJL53,14.95,Area017,2005,223.2902,Cardiac,critical,0.19820944,DownTown,Tier 2,Unknown,3298.853
TZV99,,Area019,1983,252.717,Hreplacements,mild,0.075294473,MidTownResidential,Tier 1,Small,599.034
VSR86,7.95,Area017,2005,160.0734,Cardiac,mild,0.066591345,DownTown,Tier 2,Unknown,2488.5744
SWI46,11.3,Area010,1996,151.918,OralContraceptives,mild,0.089755106,MidTownResidential,Tier 3,Unknown,252.818
QLK14,20.9,Area046,1995,60.2376,OralContraceptives,critical,0.054571557,DownTown,Tier 1,Small,736.1888
ZKQ11,7.6,Area018,2007,219.927,Cardiac,mild,0.140968205,Industrial,Tier 3,Medium,4097.813
KEB73,11.8,Area045,2000,88.596,Antifungal,critical,0.079315023,DownTown,Tier 2,Unknown,2270.192
ARR74,11.495,Area018,2007,156.8076,Hreplacements,mild,0.1208345409999999,Industrial,Tier 3,Medium,1443.2684
DWE31,15.8,Area045,2000,270.7594,Antacids,critical,0.076993068,DownTown,Tier 2,Unknown,5607.8474
DLV10,8.81,Area046,1995,239.901,Antibiotics,mild,0.03042908,DownTown,Tier 1,Small,6314.927
HTO82,,Area019,1983,157.5418,Cardiac,critical,0.057063785,MidTownResidential,Tier 1,Small,407.2836
QSD18,15.9,Area045,2000,248.6538,MuscleRelaxants,mild,0.072611153,DownTown,Tier 2,Unknown,2276.1842
SVI87,,Area027,1983,173.0894,Antibiotics,mild,0.025215675,CityLimits,Tier 3,Medium,5613.8396
MCJ75,14.8,Area017,2005,44.9874,Tranquilizers,mild,0.068301055,DownTown,Tier 2,Unknown,430.5866
OPR10,10.695,Area049,1997,235.072,Analgesics,mild,0.172582185,DownTown,Tier 1,Medium,7130.531999999999
FAB15,,Area027,1983,168.66299999999998,Tranquilizers,mild,0.129366304,CityLimits,Tier 3,Medium,4181.038
LEF96,17.0,Area035,2002,218.198,Antimalarial,critical,0.021734284,DownTown,Tier 2,Small,3208.97
OFD11,12.1,Area018,2007,248.4564,Analgesics,mild,0.013,Industrial,Tier 3,Medium,5356.8408
